기업명,기업구분,모집분야,모집인원,고용형태,직급/직책,급여,근무시간,근무지주소,경력,학력,우대조건,스킬,핵심역량,기업URL,domain_id,domain_name,_matched_master_skills
㈜지비에프엔씨,,모집분야 업무 자동화 PM,1명,정규직,,회사 내규에 따름 (면접 후 결정),주5일(월~금) | 09:00 ~ 18:00,"경기 수원시 영통구 신원로 55 (신동, 테크트리영통지식산업센터) 916호 | 지도보기",(3년이상),학력무관,,"API, JAVA, Python",,https://www.jobkorea.co.kr/Recruit/GI_Read/48671571?rPageCode=SL&logpath=21&sn=6&sc=611,10001,서비스업,"API, Java, Python"
㈜맨파워코리아,,모집분야 회계팀 사무지원,1명,파견직 | (근무기간 6개월),,월급 230~230만원,주5일(월~금) | 08:00 ~ 17:00,울산 남구 여천동 1 노벨리스코리아(주) | 지도보기,경력무관,초대졸이상,,"Oracle, Microsoft Office",,https://www.jobkorea.co.kr/Recruit/GI_Read/48670348?rPageCode=SL&logpath=21&sn=6&sc=611,10001,서비스업,Oracle
㈜멜팅소울,,모집분야 마케터,1명,정규직 | (협의),과장~차장급 | 팀원,"연봉 4,200~4,500만원 (면접 후 결정)",주5일(월~금) | 10:00 ~ 19:00,"경기 고양시 일산동구 호수로 358-39 (백석동, 동문타워I) 505호 | 지도보기",(5년이상),학력무관,"컴퓨터활용능력 우수자, 엑셀 고급능력 보유자, 포토샵 능숙자","Google Analytics, LSM, 컴퓨터활용능력",,https://www.jobkorea.co.kr/Recruit/GI_Read/48669943?rPageCode=SL&logpath=21&sn=6&sc=611,10001,서비스업,Google Analytics
프롬코퍼레이션㈜,,모집분야 프롬코퍼레이션 콘텐츠 마케터 채용,1명,정규직 | (수습 2개월),,회사 내규에 따름 (면접 후 결정),주 4.5일 근무(월~금) | 유연출근제도,"서울 강남구 강남대로 500 (논현동, 논현빌딩) 5층 | 지도보기","(2년이상, ~5년)",학력무관,,"Illustrator, Photoshop, Canva",,https://www.jobkorea.co.kr/Recruit/GI_Read/48668822?rPageCode=SL&logpath=21&sn=6&sc=611,10001,서비스업,CAN
전라상회,,모집분야 온라인마케팅,1명,정규직 | (수습 3개월),"주임~대리급, 면접 후 결정 | 팀원",월급 350~370만원,주5일(월~금) | 09:00 ~ 18:00,"서울 동작구 노들로 674 (노량진동, 노량진수산물도매시장) 활어 161호. 전라상회 | 지도보기",(5년이상),학력무관,,"Google Analytics, Microsoft Office, Photoshop Lightroom","성실성, | 꼼꼼함, | 윤리의식, | 적응성, | 협동심, | 성장지향성",https://www.jobkorea.co.kr/Recruit/GI_Read/48666689?rPageCode=SL&logpath=21&sn=6&sc=611,10001,서비스업,Google Analytics
프리미엄스파엘 역삼점,,모집분야 웰니스스파 프리미엄스파엘 역삼 테라피스트 채용,1명,정규직 | (수습 1개월),"주임~대리급, 과장~차장급 | 팀원, 팀장/매니저/실장",회사 내규에 따름 (면접 후 결정),주5일(월~금) | 10:00 ~ 24:00 | 주간조 / 중간조 - 선택,서울 강남구 테헤란로43길 14 (역삼동) 3층 301호 | 지도보기,,학력무관,"영어가능자, 일본어가능자, 중국어가능자, 인근거주자, 야간근무 가능자, 장기근무 가능자","CS, Vuetify, 피부관리, 테라피스트, 뷰티, 마사지, 테라피, 에스테틱, 산모케어, 산전산후","성취지향성, | 꼼꼼함, | 적응성, | 성장지향성, | 스트레스관리",https://www.jobkorea.co.kr/Recruit/GI_Read/48666129?rPageCode=SL&logpath=21&sn=6&sc=611,10001,서비스업,Vue.js
아슈리온코리아(유),,모집분야 Product Owner,1명,계약직 | (근무기간 1년),주임~대리급 | 팀원,회사 내규에 따름,주5일(월~금) | 09:00 ~ 18:00,"서울 종로구 우정국로 26 (공평동, 센트로폴리스) 에이동 10층 | 지도보기",(3년이상),대졸이상,,"Google Analytics, Jira, SQL, Adobe XD, Excel, Figma, Sketch, Asana, Trello","계획성, | 성실성, | 성취지향성, | 꼼꼼함, | 적응성",https://www.jobkorea.co.kr/Recruit/GI_Read/48664609?rPageCode=SL&logpath=21&sn=6&sc=611,10001,서비스업,"Google Analytics, SQL"
에스엠피티㈜,,모집분야 웹퍼블리셔,1명,프리랜서 | (근무기간 3개월),,회사 내규에 따름 (면접 후 결정),주5일(월~금) | 09:00 ~ 18:00,인천 남동구 경인로 722 (간석동) 4층 에스엠피티 주식회사 | 지도보기,(3년이상),학력무관,,"CSS3, HTML5, Javascript, tailwindcss",,https://www.jobkorea.co.kr/Recruit/GI_Read/48639888?rPageCode=SL&logpath=21&sn=6&sc=611,10001,서비스업,JavaScript
티앤오즈,,모집분야 사무직,1명,정규직 | (수습 6개월),,회사 내규에 따름 (면접 후 결정),주5일(월~금) | 09:00 ~ 18:00,"경기 부천시 조마루로385번길 92 (원미동, 부천테크노밸리U1center) 1015호 | 지도보기",경력무관,학력무관,"유관업무 경험자(인턴·알바), 관련 학과 전공자, 관련 자격증 보유자, 유관업무 경력자","API, Node.js, React, AWS S3, Next.js, SSR, 정보처리기사 자격",,https://www.jobkorea.co.kr/Recruit/GI_Read/48661566?rPageCode=SL&logpath=21&sn=6&sc=611,10001,서비스업,"API, Node.js, React, AWS, Next.js"
㈜락앤런,,모집분야 기획/PM,○명,"정규직 | (수습 3개월) | , | 계약직 | (근무기간 3개월, 정규직 전환 가능)","사원급, 주임~대리급 | 팀원, 팀장/매니저/실장","연봉 2,700~3,000만원 (면접 후 결정)",주5일(월~금) | 08:00 ~ 17:00 | 탄력근무제,"전북 장수군 장수읍 신천로 30 (장수리, 장수군어울림센터) 락앤런 | 지도보기",신입·경력,학력무관,"영어가능자, 인근거주자, 차량소지자, 유관업무 경험자(인턴·알바), 지방근무 가능자, 리더쉽 소유자","Google Analytics, Excel, PowerPoint, Photoshop, 망고보드, 운전면허, 컴퓨터활용능력","성실성, | 성취지향성, | 꼼꼼함, | 창의성, | 계획성",https://www.jobkorea.co.kr/Recruit/GI_Read/48657275?rPageCode=SL&logpath=21&sn=6&sc=611,10001,서비스업,Google Analytics
