company_skill_id,company_id,skill_id
13056,3331,31
13057,3331,47
13058,3331,56
13059,3332,69
13060,3332,89
13061,3333,24
13062,3333,60
13063,3333,12
13064,3333,40
13065,3333,67
13066,3333,917
13067,3333,918
13068,3333,919
13069,3334,12
13070,3335,32
13071,3335,33
13072,3335,58
13073,3335,73
13074,3335,81
13075,3336,55
13076,3336,87
13077,3336,40
13078,3337,32
13079,3337,4
13080,3337,31
13081,3337,73
13082,3338,1
13083,3338,32
13084,3339,42
13085,3014,85
13086,3340,60
13087,3340,59
13088,3340,3
13089,3340,47
13090,3340,56
13091,3340,48
13092,3341,27
13093,3342,17
13094,3342,34
13095,3342,55
13096,3342,26
13097,3342,48
13098,3343,9
13099,3343,16
13100,3343,17
13101,3343,24
13102,3343,47
13103,3343,58
13104,3343,60
13105,3343,59
13106,3343,25
13107,3343,20
13108,3344,32
13109,3344,33
13110,3344,73
13111,3037,2
13112,3037,49
13113,3006,17
13114,3006,46
13115,3006,26
13116,3037,63
13117,3345,91
13118,3346,52
13119,3346,69
13120,3347,1
13121,3347,29
13122,3347,32
13123,3347,33
13124,3347,93
13125,3347,31
13126,3347,56
13127,3347,60
13128,3347,69
13129,3347,73
13130,3037,84
13131,3348,60
13132,3349,74
13133,3349,40
13134,3350,27
13135,3351,11
13136,3352,32
13137,3352,33
13138,3352,30
13139,3352,76
13140,3353,4
13141,3353,1
13142,3353,92
13143,3353,32
13144,3353,31
13145,3353,47
13146,3353,55
13147,3353,73
13148,3354,4
13149,3354,1
13150,3354,24
13151,3354,29
13152,3354,32
13153,3354,33
13154,3354,93
13155,3354,46
13156,3354,55
13157,3354,78
13158,3355,27
13159,3352,40
13160,3354,31
13161,3356,60
13162,2987,23
13163,2987,44
13164,2987,45
13165,2987,47
13166,2987,55
13167,3357,93
13168,3357,25
13169,3358,31
13170,3358,76
13171,3142,1
13172,3359,1
13173,3359,17
13174,3359,23
13175,3359,47
13176,3359,60
13177,3359,25
13178,3359,50
13179,3359,64
13180,3359,20
13181,3142,9
13182,3014,62
13183,3014,38
13184,3098,14
13185,3098,32
13186,3098,33
13187,3098,93
13188,3098,69
13189,3098,78
13190,3098,26
13191,3360,1
13192,3360,3
13193,3360,17
13194,3360,24
13195,3360,32
13196,3360,30
13197,3360,47
13198,3360,78
13199,3361,47
13200,3362,14
13201,3362,29
13202,3362,33
13203,3362,93
13204,3362,69
13205,3362,86
13206,3361,27
13207,3363,3
13208,3363,32
13209,3363,30
13210,3363,58
13211,3363,40
13212,3363,76
13213,3364,3
13214,3364,60
13215,3364,59
13216,3364,62
13217,3365,32
13218,3365,69
13219,3365,78
13220,2907,47
13221,3366,1
13222,3366,9
13223,3367,52
13224,3367,60
13225,3367,59
13226,3367,48
13227,3367,20
13228,3368,11
13229,3368,32
13230,3369,32
13231,3369,31
13232,3370,3
13233,3370,17
13234,3370,24
13235,3370,34
13236,3370,63
13237,3370,73
13238,3370,8
13239,3371,42
13240,3372,14
13241,3372,33
13242,3372,93
13243,3373,73
13244,3374,85
13245,3146,85
13246,3146,55
13247,3146,49
13248,3375,11
13249,3375,32
13250,3375,47
13251,3375,55
13252,3375,73
13253,3376,88
13254,3377,32
13255,3378,87
13256,3378,90
13257,3378,40
13258,3379,27
13259,3379,82
13260,3380,60
13261,3381,14
13262,3382,32
13263,3382,43
13264,3382,55
13265,3382,58
13266,3382,76
13267,3383,3
13268,3383,9
13269,3383,23
13270,3383,32
13271,3383,35
13272,3383,60
13273,3383,40
13274,3032,11
13275,3384,32
13276,3384,69
13277,3385,10
13278,3385,55
13279,3385,40
13280,3160,89
13281,3386,29
13282,3387,10
13283,3387,11
13284,3387,12
13285,3387,43
13286,3387,47
13287,3387,60
13288,3388,32
13289,3388,33
13290,3388,60
13291,3388,76
13292,3389,32
13293,3389,31
13294,3383,37
13295,3390,27
13296,3391,60
13297,3391,59
13298,3391,25
13299,3391,20
13300,3392,11
13301,3393,58
13302,3393,69
13303,3393,71
13304,3393,78
13305,3393,86
13306,3393,48
13307,3394,40
13308,3394,88
13309,3020,24
13310,3394,37
13311,3395,3
13312,3395,40
13313,3048,9
13314,3048,37
13315,3396,11
13316,3396,12
13317,3396,32
13318,3396,60
13319,3397,5
