company_skill_id,company_id,skill_id
1,1255,3
2,1255,24
3,1255,33
4,1255,34
5,1255,60
6,1709,4
7,1709,1
8,1709,3
9,1709,32
10,1709,47
11,1709,40
12,1160,11
13,1160,32
14,1160,33
15,1160,78
16,1129,10
17,1129,12
18,1129,60
19,1129,87
20,1129,25
21,961,1
22,961,24
23,961,32
24,961,93
25,961,52
26,961,56
27,961,69
28,961,89
29,961,48
30,1314,3
31,1314,60
32,1314,84
33,1304,29
34,1358,14
35,1358,29
36,1358,13
37,799,12
38,799,32
39,799,33
40,799,93
41,799,31
42,799,76
43,741,14
44,741,29
45,741,32
46,741,33
47,741,91
48,1255,40
49,1255,41
50,1316,3
51,1316,9
52,1316,17
53,1316,21
54,1316,23
55,1316,32
56,1316,60
57,1316,59
58,874,32
59,874,31
60,1634,29
61,606,88
62,1198,32
63,1198,33
64,1198,31
65,1198,78
66,1567,47
67,1567,56
68,528,32
69,528,47
70,528,52
71,528,55
72,528,69
73,528,89
74,1255,32
75,1255,69
76,1146,32
77,1146,33
78,1146,55
79,1146,76
80,1286,32
81,1286,33
82,1286,93
83,1286,47
84,1286,71
85,1678,14
86,1678,29
87,1678,32
88,1678,33
89,1678,31
90,1678,43
91,1678,55
92,1283,5
93,1283,92
94,1146,31
95,1808,69
96,1412,15
97,604,1
98,604,32
99,604,33
100,1015,60
101,1015,61
102,1035,1
103,1035,40
104,1035,88
105,1110,11
106,1015,43
107,1523,32
108,1523,60
109,1523,40
110,1523,15
111,1806,32
112,1806,31
113,1806,55
114,637,33
115,637,93
116,1015,2
117,1015,52
118,1015,69
119,590,17
120,590,37
121,590,58
122,590,60
123,590,69
124,590,71
125,516,12
126,516,43
127,516,55
128,516,85
129,516,90
130,516,88
131,850,32
132,850,69
133,850,89
134,850,50
135,1663,14
136,1663,29
137,592,32
138,592,60
139,914,32
140,744,17
141,744,32
142,744,34
143,744,40
144,744,26
145,744,30
146,744,46
147,744,55
148,744,58
149,744,78
150,744,76
151,744,24
152,744,69
153,744,86
154,1284,27
155,1788,89
156,640,13
157,954,55
158,954,40
159,954,88
160,914,60
161,914,73
162,794,24
163,794,32
164,794,33
165,794,93
166,794,55
167,794,78
168,794,85
169,834,3
170,834,35
171,834,37
172,834,42
173,834,51
174,834,76
175,1156,32
176,1156,55
177,913,32
178,913,33
179,913,31
180,913,63
181,913,76
182,1317,32
183,1317,55
184,1317,91
185,482,52
186,482,86
187,482,50
188,482,64
189,1687,2
190,1687,11
191,1518,1
192,1518,24
193,1518,32
194,1518,43
195,1191,14
196,1191,29
197,1191,33
198,1749,88
199,1255,31
200,1255,55
201,1432,88
202,1445,29
203,1560,29
204,1560,32
205,1560,73
206,1560,40
207,1570,32
208,1570,33
209,1570,55
210,1570,76
211,1570,89
212,1407,32
213,1407,31
214,1407,55
215,1088,1
