skill,count_in_10007
API,205
ASP.NET,30
AWS,233
Ajax,46
Android,72
Android Studio,6
Angular,11
Ansible,4
Azure,50
C,88
C#,145
C/C++,118
CAN,16
CSS,127
DBMS,48
Django,15
Docker,152
Embedded,16
Embedded Linux,11
FastAPI,22
Flask,7
Flutter,25
GCP,29
Git,201
GitHub,31
GitLab,16
Google Analytics,159
Google Optimize,31
HTML,217
JPA,35
JSP,175
Java,814
JavaScript,312
Jenkins,38
Kafka,31
Kotlin,50
Kubernetes,77
LLM,25
Laravel,2
Linux,278
MQTT,5
MSA,31
MSSQL,106
MariaDB,72
MongoDB,29
MyBatis,35
MySQL,198
NestJS,26
Nexacro,30
Next.js,62
NoSQL,25
Node.js,103
NumPy,6
OpenCV,11
Oracle,183
PHP,66
Pandas,9
PostgreSQL,63
PyTorch,50
Python,337
R,3
RAG,40
RDBMS,57
REST API,45
ROS,8
ROS2,3
RTOS,3
Raspberry Pi,2
React,279
React Native,16
Redis,25
SPSS,3
SQL,156
SaaS,28
Scikit-learn,3
Spring,172
Spring Batch,7
Spring Boot,207
Spring MVC,7
Spring Security,3
Swift,19
Tableau,19
TensorFlow,35
Terraform,11
Tibero,25
TypeScript,95
Unix,45
VMware,37
Vue.js,132
WAS,33
WebSquare,42
iOS,51
jQuery,93
